order(183,183)=012
order(68514,65184)=02314
order(29370,90372)=14230
order(69721,27619)=32041
order(32954,29453)=12430
order(24653,52643)=30214
order(58742,54782)=03214
order(912,921)=021
order(3704,7430)=1302
order(62384,43286)=42130
order(87954,75948)=13240
order(19460,41690)=20314
order(27451,25714)=03142
order(2361,3126)=1302
order(13062,30621)=12340
order(17652,56127)=32041
order(64973,36749)=40312
order(15673,57163)=13024
order(93670,30976)=14032
order(80693,83906)=04312
order(72493,79243)=03124
order(71956,19567)=12340
order(17456,41576)=20314
order(86375,86537)=01423
order(15769,96517)=43102
order(92354,35924)=23014
order(95128,18592)=24103
order(94675,79465)=30124
order(70384,04837)=14320
order(80491,89104)=03412
order(72309,97023)=40312
order(97316,71693)=13402
order(87452,78452)=10234
order(90,09)=10
order(41892,81492)=21034
order(69804,08694)=32014
order(75094,50794)=12034
order(17248,74281)=13240
order(97048,90874)=02413
order(90621,61290)=24301
order(37421,13247)=40321
order(72143,74123)=03214
order(51490,41509)=21043
order(9482,2489)=3120
order(3947,7439)=3201
order(83124,43812)=41023
order(92387,82739)=31420
order(78534,37548)=30241
order(6154,4516)=3210
order(9381,9813)=0231
order(8497,9874)=2031
order(5390,0953)=3201
order(41096,69104)=43120
order(45083,53804)=14320
order(1327,1723)=0321
order(6741,1674)=3012
order(61209,16092)=10342
order(38954,38954)=01234
order(62571,51672)=24031
order(13589,89351)=34120
order(90627,06279)=12340
order(5763,7563)=1023
order(67582,58672)=23014
order(24908,42980)=10243
order(14259,94512)=41302
order(23145,23415)=01324
order(92834,39428)=30412
order(52368,35286)=20143
order(19376,93176)=12034
order(92183,91283)=02134
order(81709,98701)=40231
order(7246,7246)=0123
order(3879,3879)=0123
order(75293,97352)=30412
order(20386,08632)=13420
order(54786,86547)=34012
order(64135,13645)=23014
order(54207,57204)=04231
order(40675,05764)=14320
order(74918,98417)=24130
order(46731,76341)=21304
order(50879,85709)=20314
order(92840,40928)=34012
order(67950,95760)=23104
order(4308,8340)=3102
order(57910,95071)=20413
order(52193,53921)=04312
order(41502,15420)=12043
order(51698,86519)=42013
order(56207,75062)=40312
order(5820,2058)=2301
order(70325,05237)=14320
order(41563,45163)=02134
order(92546,25946)=12034
order(69873,83679)=24031
order(69357,39657)=21034
order(94027,92047)=03214
order(41805,51048)=41302
order(5708,7508)=1023
order(24107,17402)=24130
order(4572,4752)=0213
order(81632,18362)=10324
order(24359,52943)=30412
order(31460,63410)=30214
order(41920,04912)=40213
order(65037,36705)=30421
order(5790,7905)=1230
order(18796,16987)=04312
order(14793,79143)=23014
order(30714,71034)=23104
order(4256,2654)=1320
order(12089,18902)=03421
order(80672,68720)=20341
order(89263,63298)=34210
order(8951,5819)=2031
order(95708,07859)=32410
order(95810,85190)=21304
order(3062,0623)=1230
order(64187,78146)=43210
order(76824,72684)=03124
order(80249,28490)=20341
order(20159,59012)=34120
order(94526,92546)=03214
order(85706,50876)=13024
order(93261,21369)=24130
order(8130,0813)=3012
order(56208,25860)=20413
order(49507,49507)=01234
order(81920,98012)=20413
order(86120,12680)=23104
order(53048,58304)=04123
order(34785,45738)=14203
order(59148,49815)=31420
order(94273,47293)=13204
order(43176,64137)=40213
order(96845,68549)=12430
order(65340,03645)=42031
order(201,201)=012
order(76150,05716)=43021
order(14837,13478)=03142
order(1795,1579)=0312
order(92315,32915)=21034
order(5014,5140)=0231
order(20367,07263)=14032
order(76382,26837)=41320
order(86047,60487)=12304
order(79368,76983)=03142
order(7829,8297)=1230
order(24371,17342)=43210
order(85496,64985)=42301
order(96702,96027)=01342
order(12943,34219)=43102
order(3982,2983)=3120
order(49152,49125)=01243
order(37042,34027)=03241
order(52901,12950)=41203
order(85109,81059)=02314
order(6452,5426)=2130
order(69085,06589)=20431
order(9451,9451)=0123
order(6582,5826)=1230
order(29183,91238)=12043
order(16054,51604)=30124
order(3176,7163)=2130
order(38051,08315)=21043
order(10428,84102)=42013
order(87650,06785)=42103
order(23906,20369)=03142
order(27563,26735)=03142
order(87406,80467)=03241
order(36594,95346)=32041
order(23987,82793)=30421
order(1246,6124)=3012
order(10489,84091)=32140
order(21068,18062)=14230
order(6325,3256)=1230
order(49187,17894)=24310
order(15284,25418)=21403
order(40785,57084)=42130
order(82504,42085)=41302
order(74256,62745)=42013
order(46178,18467)=24013
order(26908,26809)=01432
order(80146,61480)=42301
order(4930,9340)=1203
order(92745,97254)=02143
order(43578,83475)=41032
order(25348,25384)=01243
order(47853,73584)=14320
order(3769,6973)=2310
order(2834,3248)=2031
order(76584,54687)=24130
order(49867,89674)=21340
order(86713,38671)=40123
order(9308,0893)=2301
order(7403,0347)=2310
order(13976,16937)=04213
order(27945,54972)=43210
order(21037,23701)=03421
order(65714,56741)=10243
order(2843,3284)=3012
order(497,974)=120
order(42316,63412)=42031
order(1206,6102)=3021
order(79128,97182)=10243
