order(86072,60728)=12340
order(4603,4603)=0123
order(40917,10497)=31024
order(92738,38729)=34210
order(54812,21584)=43021
order(76819,96187)=41320
order(2934,9234)=1023
order(35284,52348)=12043
order(27613,12376)=30412
order(47591,54917)=20341
order(43592,95432)=32014
order(87091,17980)=41302
order(84695,96458)=32140
order(36742,64237)=13402
order(86201,01682)=34102
order(70164,04761)=14032
order(30746,04376)=13024
order(2468,6824)=2301
order(61592,69251)=03421
order(20379,79032)=34120
order(27016,21760)=03142
order(75430,70345)=04321
order(40389,34098)=20143
order(60125,21605)=32014
order(83401,03184)=31402
order(20419,12409)=30214
order(78259,79258)=04231
order(62730,30762)=34201
order(63594,95463)=32401
order(16892,86921)=21340
order(28560,02865)=40132
order(2641,4126)=2301
order(1380,1308)=0132
order(95470,75904)=31042
order(78941,14897)=43120
order(56308,36508)=21034
order(57231,31527)=34021
order(5824,8452)=1302
order(48905,09854)=32140
order(47901,97041)=21304
order(7423,4372)=1302
order(67015,17650)=31042
order(84375,74385)=31204
order(46209,62094)=12340
order(57328,32857)=23401
order(185,581)=210
order(615,615)=012
order(8247,7428)=3210
order(64812,86142)=20314
order(67142,61742)=02134
order(8306,0638)=2310
order(98734,34978)=34021
order(34865,46853)=13240
order(17932,12973)=04213
order(92430,90234)=04132
order(98107,08179)=31240
order(94678,67984)=23041
order(29584,59842)=21340
order(19670,71096)=30412
order(36475,57643)=43120
order(92315,32915)=21034
order(37912,29173)=42310
order(40758,84750)=40231
order(48069,04698)=20341
order(23610,21036)=03412
order(86134,81364)=02314
order(46928,26948)=31204
order(3819,9381)=3012
order(27895,79825)=13204
order(79103,07139)=30241
order(60391,06319)=10243
order(9125,2591)=2301
order(1894,8149)=1032
order(7134,3147)=2130
order(59813,91385)=13420
order(16098,06891)=21430
order(28051,81052)=14230
order(27953,75329)=13402
order(2697,6792)=1320
order(651,156)=210
order(2789,8729)=2103
order(9416,6491)=3102
order(63017,36710)=10432
order(37690,39067)=03421
order(98146,48619)=31420
order(79528,82759)=43021
order(17846,84671)=23410
order(90621,61290)=24301
order(97143,34971)=43012
order(28730,08327)=41302
order(76023,27360)=30412
order(72156,56721)=34012
order(18203,28013)=21304
order(89610,18960)=30124
order(56827,57826)=04231
order(19652,29651)=41230
order(20493,42930)=20341
order(51728,87251)=42301
order(5439,3549)=2013
order(81305,85301)=04231
order(12357,51732)=30421
order(24380,42038)=10423
order(93764,43697)=41302
order(47210,72014)=12430
order(18235,31582)=30412
order(76320,70623)=04132
order(34820,48032)=12403
order(96853,53698)=34102
order(16895,86591)=21430
order(91574,51974)=21034
order(45082,02584)=24130
order(63058,38056)=14230
order(83276,72638)=32410
order(74982,29847)=42310
order(86049,86094)=01243
order(14390,14390)=01234
order(7695,5697)=3120
order(18370,18037)=01423
order(72845,74528)=03412
order(34276,76423)=34120
order(82937,23897)=13024
order(2947,7429)=3201
order(25748,42758)=30214
order(28045,52408)=40321
order(62174,64721)=04312
order(27153,17523)=21304
order(38152,35281)=03412
order(52614,42615)=41230
order(34271,32741)=02314
order(69038,86390)=40312
order(18592,18259)=01423
order(71650,60715)=24013
order(89063,69308)=31420
order(82975,78259)=30142
order(76324,74326)=04231
order(91205,15290)=14203
order(7694,7649)=0132
order(81952,29581)=42301
order(13908,39081)=12340
order(28410,48021)=21403
order(73526,35672)=12403
order(58026,08265)=21340
order(70126,20617)=31420
order(96582,95286)=02431
order(50169,59016)=04123
order(30169,90163)=41230
order(80672,68720)=20341
order(9463,3946)=3012
order(48625,42865)=03124
order(52178,85721)=40312
order(28960,96082)=23410
order(7564,6574)=2103
order(40895,49508)=03412
order(67820,26807)=30241
order(78645,64875)=23104
order(96850,90658)=04132
order(54809,94508)=41032
order(68793,68937)=01342
order(45098,89540)=43102
order(38460,04368)=42031
order(20386,08632)=13420
order(72031,13270)=43102
order(86172,61278)=12430
order(7025,5207)=3210
order(6524,2456)=2310
order(57190,50971)=04312
order(12789,79821)=24310
order(43619,63419)=21034
order(49372,43279)=02431
order(72953,75329)=03412
order(42753,43527)=04312
order(27061,67021)=31204
order(54061,41065)=14230
order(56190,56019)=01423
order(68731,68137)=01432
order(276,762)=120
order(96403,64390)=12403
order(59467,57496)=04213
order(15297,72951)=42310
order(84931,38914)=30241
order(78032,73820)=03142
order(52461,52416)=01243
order(73608,67308)=20134
order(53021,02513)=23041
order(21073,20731)=02341
order(10943,39401)=42310
order(19324,92314)=13204
order(95764,79456)=20413
order(31587,17538)=14203
order(54896,59486)=03124
order(5693,3695)=3120
order(60294,40926)=41320
order(93875,79358)=30142
order(68104,81046)=12340
order(49218,41289)=03241
order(41395,59341)=43201
order(26754,42765)=40213
order(98642,69284)=20413
order(95120,12590)=23104
order(58169,65891)=30142
order(67208,68027)=04321
order(16295,92516)=32401
