order(25139,53219)=13024
order(87093,79830)=13042
order(60541,01654)=14023
order(3215,3152)=0231
order(41507,41075)=01342
order(62941,69421)=02314
order(98074,89470)=10432
order(83124,43812)=41023
order(50841,40851)=31204
order(45691,56914)=12340
order(85473,48357)=20413
order(26549,25946)=02431
order(54673,74653)=31204
order(54860,80645)=24310
order(48625,42865)=03124
order(5420,4205)=1230
order(12958,12589)=01342
order(84672,74628)=31240
order(7280,7820)=0213
order(65874,87546)=23140
order(7691,7961)=0213
order(53269,93652)=41302
order(51467,71546)=41023
order(49561,19456)=41023
order(21647,21674)=01243
order(29310,23019)=02431
order(5792,5297)=0321
order(51279,17592)=13042
order(7189,7189)=0123
order(7216,1276)=2103
order(74635,75436)=04132
order(97150,17059)=21430
order(4798,8497)=3021
order(8613,1683)=2103
order(14259,94512)=41302
order(91786,61879)=41320
order(3840,3048)=0321
order(13587,53718)=21403
order(61847,68714)=02413
order(40293,20934)=21340
order(69345,46395)=30214
order(58692,86529)=12043
order(60289,62098)=02143
order(23461,31426)=14203
order(61432,12346)=14320
order(70841,87401)=20314
order(40637,34076)=30142
order(94608,80694)=43201
order(39072,73092)=30214
order(24365,45263)=14032
order(59710,50971)=04123
order(87350,53807)=32041
order(98372,38729)=21340
order(74062,46072)=13204
order(80349,89304)=04213
order(13746,34617)=13402
order(12439,43129)=23014
order(49253,49352)=01432
order(36295,36295)=01234
order(42137,32741)=31402
order(95264,94256)=04213
order(91385,91853)=01342
order(16749,41796)=30241
order(93842,34982)=13024
order(50423,40523)=21034
order(8157,7815)=3012
order(8962,2986)=3102
order(37906,79630)=12403
order(39014,90314)=12034
order(81062,82601)=04321
order(4051,5014)=2130
order(82603,02386)=31402
order(68075,56870)=40132
order(14029,90421)=42130
order(48705,45078)=04321
order(81902,28190)=40123
order(75804,85740)=21043
order(57962,59267)=02431
order(15398,19853)=03412
order(19605,60519)=23401
order(18406,08461)=31240
order(2671,7126)=2301
order(36745,64735)=13204
order(61528,68521)=04231
order(65034,64530)=04132
order(47063,64037)=30241
order(31798,31987)=01342
order(3187,7138)=3102
order(27014,10427)=32401
order(1386,3618)=1302
order(74639,79643)=04213
order(61802,81026)=21340
order(78194,47198)=40231
order(2971,9721)=1203
order(48295,84259)=10243
order(31470,13740)=10324
order(94085,04958)=21043
order(13865,38615)=12304
order(69318,16839)=30421
order(87349,83947)=02431
order(45791,75194)=21430
order(65038,36805)=30421
order(6875,6875)=0123
order(10569,59016)=24103
order(74563,75436)=02143
order(45689,65489)=21034
order(35608,50638)=13204
order(97681,96871)=02314
order(20431,04213)=12043
order(46352,54236)=30421
order(19025,21905)=30124
order(61940,16940)=10234
order(73648,87643)=40231
order(98365,58936)=41023
order(5438,5483)=0132
order(36571,63517)=10243
order(91623,93216)=04312
order(4503,5304)=1320
order(96715,67159)=12340
order(83724,82347)=03142
order(87091,17980)=41302
order(86213,61382)=13402
order(27809,90872)=43210
order(10583,10853)=01324
order(25097,52907)=10324
order(83520,80532)=04213
order(69471,49716)=21340
order(7480,8074)=2301
order(61507,76501)=40231
order(80163,38601)=40312
order(68143,64183)=03214
order(127,721)=210
order(4538,4835)=0321
order(20654,20564)=01324
order(54980,84095)=31420
order(4359,4593)=0231
order(98542,29548)=40231
order(57938,35789)=30142
order(70239,92073)=42103
order(24105,04152)=31240
order(76310,36017)=21430
order(56094,60459)=12403
order(5910,0591)=3012
order(18546,81465)=10342
order(3190,1039)=1302
order(71856,16875)=14203
order(82351,51238)=34120
order(41728,48127)=04132
order(7463,6743)=2013
order(52908,95280)=20143
order(80461,16084)=43102
order(25047,75042)=41230
order(62174,64721)=04312
order(25410,14250)=32014
order(42856,65428)=43012
order(82564,82654)=01324
order(8294,9842)=2031
order(10543,40531)=31240
order(58691,19856)=43102
order(80146,61480)=42301
order(25347,57423)=14302
order(68425,54268)=42301
order(52740,75042)=20431
order(95681,15689)=41230
order(25031,01352)=24310
order(73092,09372)=23104
order(43165,45136)=04213
order(27534,24735)=04132
order(25740,45702)=31240
order(29173,13297)=24013
order(1720,0712)=3102
order(73542,34752)=13024
order(72319,73291)=02143
order(38572,52873)=24130
order(47965,74965)=10234
order(42851,18425)=42013
order(95601,05961)=31024
order(56319,61935)=13420
order(94618,91468)=03124
order(5294,4529)=3012
order(48523,35824)=42130
order(90618,81690)=43201
order(68104,81046)=12340
order(56918,51896)=03421
order(8469,6948)=2310
order(65028,25806)=31420
order(91027,29107)=30124
order(87936,69378)=42310
order(35247,47325)=34021
order(24017,72410)=40132
order(13908,39081)=12340
order(67531,65173)=02413
order(18427,24781)=32410
order(85761,71586)=24103
order(10523,13205)=04312
order(15207,25710)=21403
order(61590,10956)=14320
order(78456,87645)=10423
order(35014,30145)=02341
order(26891,82169)=20413
order(81379,79138)=34120
order(51240,04512)=43012
order(25407,74502)=42130
order(26978,28976)=04231
order(98604,49860)=40123
order(38146,14386)=23014
order(69134,46193)=40213
order(59068,56980)=03142
order(10368,18603)=04312
order(86935,96853)=21043
order(1067,1607)=0213
order(65397,37956)=24310
order(34156,51364)=32041
order(20537,50723)=21403
order(64125,15642)=24013
order(85104,41580)=42103
order(13487,81437)=30214
order(59214,91254)=13204
order(59302,90235)=13420
order(3569,5936)=1302
order(92841,19824)=40213
order(7381,7138)=0312
order(59317,57319)=04231
order(52190,15209)=20143
order(57348,87345)=41230
order(10954,51409)=30412
order(82914,49218)=42130
